Name,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba]
HE 0243-5238,5085,2.35,1.77,-3.04,,,0.36,0.01,0.37,,0.06,,-0.35,1,Barklem+2005,BAR05,EMP,,,5.75,5.76,-2.68,-2.67,-2.98,,-3.39,,0.41
HE 0244-4111,5624,3.39,0.91,-2.56,,,0.21,0.0,0.21,,-0.05,,-0.37,1,Barklem+2005,BAR05,VMP,,,6.08,6.08,-2.35,-2.35,-2.61,,-2.93,,0.32
HE 0248+0039,5199,2.57,1.59,-2.53,,,0.05,0.01,0.06,,-0.15,,-0.31,1,Barklem+2005,BAR05,VMP,,,5.95,5.96,-2.48,-2.4699999999999998,-2.6799999999999997,,-2.84,,0.16
HE 0255-0859,5250,4.8,-0.62,-2.55,,,-0.18,0.0,-0.18,,,,-0.71,1,Cohen+2013,COH13,VMP,,,5.7,5.7,-2.73,-2.73,,,-3.26,,
HE 0256-1109,5891,4.04,0.34,-2.73,,,0.63,0.0,0.63,,,,,1,Barklem+2005,BAR05,VMP,,,6.33,6.33,-2.1,-2.1,,,,,
HE 0300-0751,5280,2.97,1.22,-2.27,,,0.06,0.01,0.07,,0.23,,-0.02,1,Barklem+2005,BAR05,VMP,,,6.22,6.23,-2.21,-2.2,-2.04,,-2.29,,0.25
HE 0302-3417a,4400,0.2,3.67,-3.7,,,0.48,0.72,1.2,,,,-2.1,1,Hollek+2011,HOL11,EMP,,NO,5.21,5.93,-3.22,-2.5,,,-5.800000000000001,,
HE 0305-4520,4817,1.56,2.47,-2.91,,,0.29,0.36,0.65,,-0.56,,0.53,1,Barklem+2005,BAR05,VMP,,,5.81,6.17,-2.62,-2.2600000000000002,-3.47,,-2.38,,-1.09
HE 0305-5442,4904,1.7,2.36,-3.3,,,0.27,0.16,0.43,,,,-2.41,1,Cohen+2013,COH13,EMP,,,5.4,5.56,-3.03,-2.8699999999999997,,,-5.71,,
HE 0308-1154,4984,2.05,2.04,-2.82,,,0.34,0.02,0.36,,-1.83,,,1,Barklem+2005,BAR05,VMP,,,5.95,5.97,-2.48,-2.46,-4.65,,,,
HE 0312-5200,5204,2.6,1.56,-3.11,,,0.26,0.01,0.27,,,,-0.98,1,Cohen+2013,COH13,EMP,,,5.58,5.59,-2.8499999999999996,-2.84,,,-4.09,,
HE 0315+0000,5013,2.11,1.99,-2.73,,,0.14,0.01,0.15,,0.09,,0.3,1,Barklem+2005,BAR05,VMP,,,5.84,5.85,-2.59,-2.58,-2.64,,-2.43,,-0.21
HE 0316+0214,4639,1.39,2.57,-3.14,,,-0.75,0.53,-0.22,,-1.38,,-1.43,1,Barklem+2005,BAR05,EMP,,,4.54,5.07,-3.89,-3.3600000000000003,-4.52,,-4.57,,0.050000000000000044
HE 0317-0554,5400,3.1,1.13,-2.75,,,0.4,0.01,0.41,,,,-0.32,1,Cohen+2013,COH13,VMP,,,6.08,6.09,-2.35,-2.34,,,-3.07,,
HE 0317-4640,5872,4.1,0.27,-2.32,,,0.18,0.0,0.18,,0.01,,-0.24,1,Barklem+2005,BAR05,VMP,,,6.29,6.29,-2.1399999999999997,-2.1399999999999997,-2.31,,-2.5599999999999996,,0.25
HE 0323-4529,5127,2.51,1.63,-3.14,,,0.34,0.01,0.35,,0.38,,0.25,1,Barklem+2005,BAR05,EMP,,,5.63,5.64,-2.8000000000000003,-2.79,-2.7600000000000002,,-2.89,,0.13
HE 0324+0152a,4775,1.2,2.81,-3.32,,,0.18,0.66,0.84,,,,-1.2,1,Hollek+2011,HOL11,EMP,,NO,5.29,5.95,-3.1399999999999997,-2.48,,,-4.52,,
HE 0328-1047,5301,3.03,1.16,-2.24,,,0.11,0.01,0.12,,0.11,,-0.12,1,Barklem+2005,BAR05,VMP,,,6.3,6.31,-2.1300000000000003,-2.12,-2.1300000000000003,,-2.3600000000000003,,0.22999999999999998
HE 0330-4004,5946,3.78,0.61,-2.19,,,0.04,0.0,0.04,,0.04,,-0.08,1,Barklem+2005,BAR05,VMP,,,6.28,6.28,-2.15,-2.15,-2.15,,-2.27,,0.12
HE 0331-4939,5206,2.6,1.56,-2.87,,,0.3,0.01,0.31,,0.03,,-0.98,1,Barklem+2005,BAR05,VMP,,,5.86,5.87,-2.5700000000000003,-2.56,-2.8400000000000003,,-3.85,,1.01
HE 0332-1007,4750,1.3,2.7,-2.9,,,-0.64,0.62,-0.02,,,,-0.33,1,Cohen+2013,COH13,VMP,,,4.89,5.51,-3.54,-2.92,,,-3.23,,
HE 0333-4001,5892,4.31,0.07,-2.64,,,0.28,0.0,0.28,,-0.05,,-0.21,1,Barklem+2005,BAR05,VMP,,,6.07,6.07,-2.3600000000000003,-2.3600000000000003,-2.69,,-2.85,,0.15999999999999998
HE 0336-3829,5740,3.22,1.11,-2.75,,,0.19,0.0,0.19,,-0.19,,-0.13,1,Barklem+2005,BAR05,VMP,,,5.87,5.87,-2.56,-2.56,-2.94,,-2.88,,-0.06
HE 0337-5127,5247,2.86,1.32,-2.61,,,0.12,0.01,0.13,,0.09,,-0.07,1,Barklem+2005,BAR05,VMP,,,5.94,5.95,-2.4899999999999998,-2.48,-2.52,,-2.6799999999999997,,0.16
HE 0340-5355,4862,1.81,2.23,-2.88,,,-0.15,0.13,-0.02,,-0.43,,-1.46,1,Barklem+2005,BAR05,VMP,,,5.4,5.53,-3.03,-2.9,-3.31,,-4.34,,1.03
HE 0344-0243,5140,2.3,1.84,-3.35,,0.72,-0.09,0.01,-0.08,,,,-1.23,1,Cohen+2013,COH13,EMP,,,4.99,5.0,-3.44,-3.43,,,-4.58,,
HE 0347-1819,5198,4.23,-0.07,-2.77,,,-0.01,0.0,-0.01,,-0.08,,-0.56,1,Barklem+2005,BAR05,VMP,,,5.65,5.65,-2.78,-2.78,-2.85,,-3.33,,0.48000000000000004
HE 0349-0045,5022,2.3,1.8,-2.23,,0.5,0.15,0.01,0.16,,,,-1.56,1,Cohen+2013,COH13,VMP,,,6.35,6.36,-2.08,-2.07,,,-3.79,,
HE 0353-6024,5320,3.15,1.05,-3.17,,,0.25,0.0,0.25,,-1.18,,,1,Barklem+2005,BAR05,EMP,,,5.51,5.51,-2.92,-2.92,-4.35,,,,
HE 0400-2917,5065,2.39,1.72,-2.88,,,0.11,0.01,0.12,,-0.77,,-1.14,1,Barklem+2005,BAR05,VMP,,,5.66,5.67,-2.77,-2.76,-3.65,,-4.02,,0.3699999999999999
HE 0401-0138,4866,1.76,2.28,-3.34,,,0.2,0.12,0.32,,0.21,,-0.25,1,Barklem+2005,BAR05,EMP,,,5.29,5.41,-3.1399999999999997,-3.02,-3.13,,-3.59,,0.45999999999999996
HE 0401-3835,5458,3.2,1.04,-3.05,,,0.78,0.0,0.78,,,,-0.75,1,Cohen+2013,COH13,EMP,,NO,6.16,6.16,-2.2699999999999996,-2.2699999999999996,,,-3.8,,
HE 0411-5725,5000,2.1,1.99,-3.08,,,0.35,0.01,0.36,,,,-1.25,1,Cohen+2013,COH13,EMP,,,5.7,5.71,-2.73,-2.72,,,-4.33,,
HE 0417-0821,5811,4.83,-0.48,-2.33,,,0.21,0.0,0.21,,-0.06,,-0.41,1,Barklem+2005,BAR05,VMP,,,6.31,6.31,-2.12,-2.12,-2.39,,-2.74,,0.35
HE 0420+0123a,4800,1.45,2.57,-3.03,,,0.33,0.45,0.78,,,,0.08,1,Hollek+2011,HOL11,EMP,,CE,5.73,6.18,-2.6999999999999997,-2.25,,,-2.9499999999999997,,
HE 0430-4901,5296,3.12,1.07,-2.72,,,0.05,0.01,0.06,,0.1,,0.46,1,Barklem+2005,BAR05,VMP,R2,,5.76,5.77,-2.6700000000000004,-2.66,-2.62,,-2.2600000000000002,,-0.36
HE 0432-0923,5131,2.64,1.5,-3.19,,,0.2,0.01,0.21,,0.58,,0.67,0,Barklem+2005,BAR05,EMP,,,5.44,5.45,-2.9899999999999998,-2.98,-2.61,,-2.52,,-0.09000000000000008
HE 0432-1005a,4525,0.5,3.42,-3.21,,,0.23,0.73,0.96,,,,-0.9,1,Hollek+2011,HOL11,EMP,,NO,5.45,6.18,-2.98,-2.25,,,-4.11,,
HE 0436-4008,5431,3.34,0.9,-2.35,,,0.45,0.0,0.45,,0.43,,-0.31,1,Barklem+2005,BAR05,VMP,,,6.53,6.53,-1.9000000000000001,-1.9000000000000001,-1.9200000000000002,,-2.66,,0.74
HE 0441-4343,5629,3.59,0.71,-2.52,,,0.29,0.0,0.29,,-0.01,,-0.65,1,Barklem+2005,BAR05,VMP,,,6.2,6.2,-2.23,-2.23,-2.53,,-3.17,,0.64
HE 0442-1234,4604,1.34,2.61,-2.41,,,-0.65,0.61,-0.04,,-0.22,,-0.19,1,Barklem+2005,BAR05,VMP,,,5.37,5.98,-3.06,-2.45,-2.6300000000000003,,-2.6,,-0.03
HE 0445-2339,5165,2.1,2.05,-2.85,,,-0.57,0.0,-0.57,,,,-0.64,1,Cohen+2013,COH13,VMP,,,5.01,5.01,-3.42,-3.42,,,-3.49,,
HE 0447-1858,5570,3.5,0.78,-2.56,,-1.12,0.17,0.0,0.17,,,,-1.61,1,Cohen+2013,COH13,VMP,,,6.04,6.04,-2.39,-2.39,,,-4.17,,
HE 0450-4705,5429,3.34,0.89,-3.1,,,0.8,0.0,0.8,,-0.38,,,1,Barklem+2005,BAR05,EMP,,CE,6.13,6.13,-2.3,-2.3,-3.48,,,,
HE 0454-4758,5388,3.33,0.89,-3.1,,,0.4,0.0,0.4,,-0.26,,-0.74,1,Barklem+2005,BAR05,EMP,,,5.73,5.73,-2.7,-2.7,-3.3600000000000003,,-3.84,,0.48
HE 0501-5139,5861,3.54,0.83,-2.38,,,0.36,0.0,0.36,,-0.03,,,1,Barklem+2005,BAR05,VMP,,,6.41,6.41,-2.02,-2.02,-2.4099999999999997,,,,
HE 0501-5644,5033,2.3,1.8,-2.4,,,0.23,0.01,0.24,,-0.06,,-0.5,1,Barklem+2005,BAR05,VMP,,,6.26,6.27,-2.17,-2.16,-2.46,,-2.9,,0.44
HE 0512-3835,4948,2.01,2.06,-2.39,,,-0.26,0.04,-0.22,,0.13,,-0.16,1,Barklem+2005,BAR05,VMP,,,5.78,5.82,-2.6500000000000004,-2.6100000000000003,-2.2600000000000002,,-2.5500000000000003,,0.29000000000000004
HE 0513-4557,5629,3.62,0.68,-2.79,,,0.35,0.0,0.35,,0.11,,,1,Barklem+2005,BAR05,VMP,,,5.99,5.99,-2.44,-2.44,-2.68,,,,
HE 0516-3820,5342,3.05,1.16,-2.32,,,0.35,0.01,0.36,,0.14,,-0.16,1,Barklem+2005,BAR05,VMP,,,6.46,6.47,-1.9699999999999998,-1.96,-2.1799999999999997,,-2.48,,0.30000000000000004
HE 0517-1952,5254,1.99,2.19,-2.61,,,-0.56,0.03,-0.53,,0.07,,-0.43,1,Barklem+2005,BAR05,VMP,,,5.26,5.29,-3.17,-3.1399999999999997,-2.54,,-3.04,,0.5
HE 0519-5525,5580,3.48,0.8,-2.52,,,0.25,0.0,0.25,,0.29,,-0.24,1,Barklem+2005,BAR05,VMP,,,6.16,6.16,-2.27,-2.27,-2.23,,-2.76,,0.53
HE 0520-1748,5272,3.06,1.12,-2.52,,,0.41,0.01,0.42,,-0.44,,-0.64,1,Barklem+2005,BAR05,VMP,,,6.32,6.33,-2.11,-2.1,-2.96,,-3.16,,0.2
HE 0524-2055,4739,1.57,2.43,-2.59,,,-0.29,0.41,0.12,,0.23,,0.02,1,Barklem+2005,BAR05,VMP,,,5.55,5.96,-2.88,-2.4699999999999998,-2.36,,-2.57,,0.21000000000000002
HE 0533-5340,4937,1.8,2.27,-2.67,,,-0.06,0.18,0.12,,,,-0.94,1,Cohen+2013,COH13,VMP,,,5.7,5.88,-2.73,-2.55,,,-3.61,,
HE 0534-4615,5506,3.4,0.86,-2.01,,,0.09,0.0,0.09,,0.15,,-0.06,1,Barklem+2005,BAR05,VMP,,,6.51,6.51,-1.9199999999999997,-1.9199999999999997,-1.8599999999999999,,-2.07,,0.21
HE 0547-4539,5152,2.59,1.55,-3.01,,,0.46,0.01,0.47,,0.28,,-1.08,1,Barklem+2005,BAR05,EMP,,,5.88,5.89,-2.55,-2.54,-2.7299999999999995,,-4.09,,1.36
HE 0557-4840,4900,2.2,1.86,-4.75,,,1.65,0.01,1.66,-1.04,,,0.03,1,Masseron+2012,MAS12,UMP,,NO,5.33,5.34,-3.1,-3.09,,-5.79,-4.72,,
HE 0858-0016,4447,0.75,3.14,-2.75,,,-0.84,0.77,-0.07,,-0.6,,-0.59,1,Barklem+2005,BAR05,VMP,,,4.84,5.61,-3.59,-2.82,-3.35,,-3.34,,-0.010000000000000009
HE 0926-0508,6249,4.24,0.24,-2.78,,,0.53,0.0,0.53,,0.08,,-0.36,1,Barklem+2005,BAR05,VMP,,,6.18,6.18,-2.25,-2.25,-2.6999999999999997,,-3.1399999999999997,,0.44
HE 0926-0546,5159,2.5,1.65,-3.73,,1.2,0.5,0.01,0.51,,,,-0.78,1,Cohen+2013,COH13,EMP,,,5.2,5.21,-3.23,-3.2199999999999998,,,-4.51,,
HE 0938+0114,6777,4.89,-0.27,-2.51,,,0.57,0.0,0.57,,0.02,,-0.19,1,Barklem+2005,BAR05,VMP,,,6.49,6.49,-1.94,-1.94,-2.4899999999999998,,-2.6999999999999997,,0.21
HE 0951-1152,5349,4.75,-0.54,-2.62,,,0.06,0.0,0.06,,-0.4,,0.04,1,Barklem+2005,BAR05,VMP,,,5.87,5.87,-2.56,-2.56,-3.02,,-2.58,,-0.44
HE 1006-2218,6638,4.62,-0.04,-2.69,,,0.58,0.0,0.58,,-0.05,,,1,Zhang+2011,ZHA11,VMP,,,6.32,6.32,-2.11,-2.11,-2.7399999999999998,,,,
HE 1012-1540,5745,3.45,0.88,-3.47,,1.25,2.22,0.0,2.22,,-0.46,,-0.25,1,Yong+2013,YON13,EMP,,NO,7.18,7.18,-1.25,-1.25,-3.93,,-3.72,,-0.21000000000000002
HE 1015-0027,6315,4.4,0.1,-2.65,,,0.67,0.0,0.67,,0.53,,,1,Zhang+2011,ZHA11,VMP,,,6.45,6.45,-1.98,-1.98,-2.12,,,,
HE 1044-2509,5227,2.78,1.39,-2.88,,,0.48,0.01,0.49,,0.33,,0.18,1,Barklem+2005,BAR05,VMP,,,6.03,6.04,-2.4,-2.3899999999999997,-2.55,,-2.6999999999999997,,0.15000000000000002
HE 1052-2548,6534,4.52,0.04,-2.29,,,0.47,0.0,0.47,,0.35,,0.82,0,Barklem+2005,BAR05,VMP,,,6.61,6.61,-1.82,-1.82,-1.94,,-1.4700000000000002,,-0.47
HE 1054-0059,4601,1.19,2.76,-3.34,,,-0.77,0.69,-0.08,,-0.61,,-1.26,1,Barklem+2005,BAR05,EMP,,,4.32,5.01,-4.109999999999999,-3.42,-3.9499999999999997,,-4.6,,0.65
HE 1059-0118,5560,4.3,-0.02,-2.8,,,0.33,0.0,0.33,,-0.41,,,1,Barklem+2005,BAR05,VMP,,,5.96,5.96,-2.4699999999999998,-2.4699999999999998,-3.21,,,,
HE 1100-0137,6101,4.25,0.19,-2.9,,,0.43,0.0,0.43,,,,,1,Barklem+2005,BAR05,VMP,,,5.96,5.96,-2.4699999999999998,-2.4699999999999998,,,,,
HE 1116-0634,4400,0.1,3.77,-3.73,,,0.08,0.73,0.81,,,,-1.81,1,Hollek+2011,HOL11,EMP,,NO,4.78,5.51,-3.65,-2.92,,,-5.54,,
HE 1120-0153,6191,4.09,0.37,-2.77,,,0.54,0.0,0.54,,-0.08,,-0.22,1,Barklem+2005,BAR05,VMP,,,6.2,6.2,-2.23,-2.23,-2.85,,-2.99,,0.14
HE 1122-1429,5787,3.29,1.06,-2.65,,,0.4,0.0,0.4,,0.04,,-0.4,1,Barklem+2005,BAR05,VMP,,,6.18,6.18,-2.25,-2.25,-2.61,,-3.05,,0.44
HE 1124-2335,5226,2.68,1.49,-2.95,,,0.76,0.01,0.77,,0.18,,-1.15,1,Barklem+2005,BAR05,VMP,,NO,6.24,6.25,-2.1900000000000004,-2.18,-2.77,,-4.1,,1.3299999999999998
HE 1126-1735,5689,3.31,1.01,-2.69,,,0.19,0.0,0.19,,-0.07,,-0.51,1,Barklem+2005,BAR05,VMP,,,5.93,5.93,-2.5,-2.5,-2.76,,-3.2,,0.44
HE 1127-1143,5224,2.64,1.53,-2.72,,,0.5,0.01,0.51,,0.34,,0.57,1,Barklem+2005,BAR05,VMP,,,6.21,6.22,-2.22,-2.21,-2.3800000000000003,,-2.1500000000000004,,-0.22999999999999993
HE 1128-0823,5909,3.71,0.67,-2.71,,,0.43,0.0,0.43,,0.12,,-0.21,1,Barklem+2005,BAR05,VMP,,,6.15,6.15,-2.28,-2.28,-2.59,,-2.92,,0.32999999999999996
HE 1131+0141,5236,2.98,1.19,-2.49,,,0.08,0.01,0.09,,0.25,,0.48,1,Barklem+2005,BAR05,VMP,,,6.02,6.03,-2.41,-2.4000000000000004,-2.24,,-2.0100000000000002,,-0.22999999999999998
HE 1132+0125,5732,3.54,0.79,-2.38,,,0.2,0.0,0.2,,0.07,,-0.21,1,Barklem+2005,BAR05,VMP,,,6.25,6.25,-2.1799999999999997,-2.1799999999999997,-2.31,,-2.59,,0.28
HE 1132+0204,5046,2.25,1.86,-2.53,,,0.09,0.01,0.1,,-0.12,,-0.74,1,Barklem+2005,BAR05,VMP,,,5.99,6.0,-2.44,-2.4299999999999997,-2.65,,-3.2699999999999996,,0.62
HE 1133-1641,6500,4.2,0.35,-2.82,,,1.09,0.0,1.09,,,,-0.55,1,Cohen+2013,COH13,VMP,,NO,6.7,6.7,-1.7299999999999998,-1.7299999999999998,,,-3.37,,
HE 1135-0344,6154,4.03,0.42,-2.63,,,0.99,0.0,0.99,,0.48,,,1,Barklem+2005,BAR05,VMP,,CE,6.79,6.79,-1.64,-1.64,-2.15,,,,
HE 1141-0610,6750,4.1,0.51,-2.28,,,0.89,0.0,0.89,,0.09,,-0.04,1,Cohen+2013,COH13,VMP,,NO,7.04,7.04,-1.3899999999999997,-1.3899999999999997,-2.19,,-2.32,,0.13
HE 1144-1349,6500,4.16,0.39,-2.61,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,,5.97,5.97,-2.46,-2.46,,,,,
HE 1148-0037,5964,4.16,0.24,-3.47,,,0.8,0.0,0.8,,-0.32,,,1,Barklem+2005,BAR05,EMP,,CE,5.76,5.76,-2.67,-2.67,-3.79,,,,
HE 1150-0428,5208,2.54,1.62,-3.47,,2.52,2.37,0.02,2.39,,-0.32,,-0.48,1,Yong+2013,YON13,EMP,,NO,7.33,7.35,-1.1,-1.08,-3.79,,-3.95,,0.15999999999999998
HE 1201-1512,5725,3.39,0.94,-3.92,1.29,,1.6,0.0,1.6,,,-0.34,,1,Yong+2013,YON13,EMP,,NO,6.11,6.11,-2.32,-2.32,,,,-4.26,
HE 1207-2031,6281,4.4,0.09,-2.82,,,0.6,0.0,0.6,,-0.06,,,1,Barklem+2005,BAR05,VMP,,,6.21,6.21,-2.2199999999999998,-2.2199999999999998,-2.88,,,,
HE 1208-0040,5995,4.29,0.12,-2.09,,,0.13,0.0,0.13,,,,,1,Akerman+2004,AKE04,VMP,,,6.47,6.47,-1.96,-1.96,,,,,
HE 1210+0048,6028,3.73,0.69,-2.28,,,0.48,0.0,0.48,,0.03,,-0.14,1,Barklem+2005,BAR05,VMP,,,6.63,6.63,-1.7999999999999998,-1.7999999999999998,-2.25,,-2.42,,0.17
HE 1210-1956,5790,3.3,1.05,-2.57,,,0.18,0.0,0.18,,0.14,,-0.47,1,Barklem+2005,BAR05,VMP,,,6.04,6.04,-2.3899999999999997,-2.3899999999999997,-2.4299999999999997,,-3.04,,0.61
HE 1212-0127,4915,1.85,2.21,-2.16,,,-0.43,0.18,-0.25,,-0.09,,-0.36,1,Barklem+2005,BAR05,VMP,,,5.84,6.02,-2.5900000000000003,-2.41,-2.25,,-2.52,,0.27
HE 1214-1819,4916,1.88,2.18,-3.0,,,0.31,0.07,0.38,,0.36,,-0.1,1,Barklem+2005,BAR05,EMP,,,5.74,5.81,-2.69,-2.62,-2.64,,-3.1,,0.45999999999999996
HE 1215+0149,5098,2.37,1.76,-2.9,,,0.11,0.01,0.12,,0.39,,-0.81,1,Barklem+2005,BAR05,VMP,,,5.64,5.65,-2.79,-2.78,-2.51,,-3.71,,1.2000000000000002
HE 1217-0540,5700,4.2,0.12,-2.94,,,0.77,0.0,0.77,,0.23,,,1,Barklem+2005,BAR05,VMP,,CE,6.26,6.26,-2.17,-2.17,-2.71,,,,
HE 1219-0312,5140,2.4,1.74,-2.8,,,-0.12,0.01,-0.11,,0.41,,0.65,0,Barklem+2005,BAR05,VMP,,,5.51,5.52,-2.92,-2.9099999999999997,-2.3899999999999997,,-2.15,,-0.24000000000000005
HE 1221-0522,5789,4.04,0.31,-2.84,,,0.49,0.0,0.49,,-0.35,,,1,Barklem+2005,BAR05,VMP,,,6.08,6.08,-2.3499999999999996,-2.3499999999999996,-3.19,,,,
HE 1221-1948,6083,3.81,0.62,-3.36,,,1.38,0.0,1.38,,,,,1,Barklem+2005,BAR05,EMP,,CE,6.45,6.45,-1.98,-1.98,,,,,
HE 1222-0200,5288,2.72,1.47,-2.44,,,0.19,0.01,0.2,,-0.03,,,1,Barklem+2005,BAR05,VMP,,,6.18,6.19,-2.25,-2.2399999999999998,-2.4699999999999998,,,,
HE 1222-0336,6052,3.96,0.46,-2.04,,,0.18,0.0,0.18,,-0.23,,-0.25,1,Barklem+2005,BAR05,VMP,,,6.57,6.57,-1.86,-1.86,-2.27,,-2.29,,0.01999999999999999
HE 1225+0155,4842,1.8,2.24,-2.75,,,0.22,0.18,0.4,,0.18,,-0.5,1,Barklem+2005,BAR05,VMP,,,5.9,6.08,-2.53,-2.35,-2.57,,-3.25,,0.6799999999999999
HE 1226-1149,5120,2.3,1.83,-2.91,,1.43,0.42,0.01,0.43,,,,0.9,0,Cohen+2013,COH13,VMP,,,5.94,5.95,-2.49,-2.48,,,-2.0100000000000002,,
HE 1230-1724,5952,3.98,0.41,-2.3,,,0.09,0.0,0.09,,0.04,,-0.22,1,Barklem+2005,BAR05,VMP,,,6.22,6.22,-2.21,-2.21,-2.26,,-2.52,,0.26
HE 1237-3103,4851,1.72,2.32,-2.91,,,-0.1,0.21,0.11,,-0.09,,-0.65,1,Barklem+2005,BAR05,VMP,,,5.42,5.63,-3.0100000000000002,-2.8000000000000003,-3.0,,-3.56,,0.56
HE 1243-1425,5507,3.19,1.07,-2.67,,,0.47,0.01,0.48,,0.34,,-0.45,1,Barklem+2005,BAR05,VMP,,,6.23,6.24,-2.2,-2.19,-2.33,,-3.12,,0.79
HE 1245-0215,6500,3.8,0.75,-2.85,,,1.66,0.0,1.66,,,,0.29,1,Cohen+2013,COH13,VMP,,CE,7.24,7.24,-1.1900000000000002,-1.1900000000000002,,,-2.56,,
HE 1245-1616,6191,4.04,0.42,-2.98,,,0.68,0.0,0.68,,0.36,,0.19,1,Barklem+2005,BAR05,VMP,,,6.13,6.13,-2.3,-2.3,-2.62,,-2.79,,0.16999999999999998
HE 1246-1344,4853,1.65,2.39,-3.4,,,-0.1,0.22,0.12,,-1.15,,,1,Barklem+2005,BAR05,EMP,,,4.93,5.15,-3.5,-3.28,-4.55,,,,
HE 1247-2114,5012,2.08,2.02,-2.61,,,0.28,0.02,0.3,,0.46,,-0.48,1,Barklem+2005,BAR05,VMP,,,6.1,6.12,-2.33,-2.31,-2.15,,-3.09,,0.94
HE 1248-1800,5288,2.92,1.27,-2.89,,,0.49,0.0,0.49,,-0.16,,-0.18,1,Barklem+2005,BAR05,VMP,,,6.03,6.03,-2.4000000000000004,-2.4000000000000004,-3.0500000000000003,,-3.0700000000000003,,0.01999999999999999
HE 1249-2932,4718,1.52,2.47,-2.65,,,-0.45,0.45,0.0,,-0.78,,-1.26,1,Barklem+2005,BAR05,VMP,,,5.33,5.78,-3.1,-2.65,-3.4299999999999997,,-3.91,,0.48
HE 1249-3121,5373,3.4,0.82,-3.23,,,1.82,0.0,1.82,,-0.88,,,1,Barklem+2005,BAR05,EMP,,CE,7.02,7.02,-1.41,-1.41,-4.11,,,,
HE 1251-0104,5084,2.32,1.8,-2.73,,,0.21,0.01,0.22,,-0.12,,-0.42,1,Barklem+2005,BAR05,VMP,,,5.91,5.92,-2.52,-2.51,-2.85,,-3.15,,0.3
HE 1252+0044,5296,2.98,1.21,-3.28,,,0.5,0.0,0.5,,0.8,,-0.62,1,Barklem+2005,BAR05,EMP,,,5.65,5.65,-2.78,-2.78,-2.4799999999999995,,-3.9,,1.42
HE 1252-0117,4847,1.67,2.37,-2.86,,,-0.2,0.27,0.07,,-0.89,,-1.7,1,Barklem+2005,BAR05,VMP,,,5.37,5.64,-3.06,-2.79,-3.75,,-4.56,,0.8099999999999999
HE 1254+0009,4865,1.86,2.18,-2.95,,,-0.15,0.08,-0.07,,-0.24,,-0.9,1,Barklem+2005,BAR05,VMP,,,5.33,5.41,-3.1,-3.02,-3.1900000000000004,,-3.85,,0.66
HE 1256-0228,4860,1.83,2.21,-2.08,,,-0.08,0.19,0.11,,0.1,,0.07,1,Barklem+2005,BAR05,VMP,,,6.27,6.46,-2.16,-1.97,-1.98,,-2.0100000000000002,,0.03
HE 1256-0651,6137,4.05,0.4,-2.36,,,0.52,0.0,0.52,,-0.25,,-0.36,1,Barklem+2005,BAR05,VMP,,,6.59,6.59,-1.8399999999999999,-1.8399999999999999,-2.61,,-2.7199999999999998,,0.10999999999999999
HE 1258-1317,5175,2.5,1.65,-2.9,,,0.17,0.01,0.18,,,,-0.99,1,Cohen+2013,COH13,VMP,,,5.7,5.71,-2.73,-2.7199999999999998,,,-3.8899999999999997,,
HE 1259-0621,5787,3.68,0.67,-2.64,,,0.37,0.0,0.37,,0.17,,-0.02,1,Barklem+2005,BAR05,VMP,,,6.16,6.16,-2.27,-2.27,-2.47,,-2.66,,0.19
HE 1300+0157,5529,3.25,1.02,-3.75,0.71,,1.31,0.0,1.31,-1.73,,-0.85,,1,Yong+2013,YON13,EMP,,NO,5.99,5.99,-2.44,-2.44,,-5.48,,-4.6,
HE 1300-0641,5308,2.96,1.24,-3.14,,,1.2,0.01,1.21,,-0.5,,-0.86,1,Barklem+2005,BAR05,EMP,,NO,6.49,6.5,-1.9400000000000002,-1.9300000000000002,-3.64,,-4.0,,0.36
HE 1300-0642,5173,2.68,1.47,-3.02,,,0.3,0.01,0.31,,-0.12,,-0.43,1,Barklem+2005,BAR05,EMP,,,5.71,5.72,-2.72,-2.71,-3.14,,-3.45,,0.31
HE 1300-2201,6332,4.64,-0.14,-2.61,,,0.92,0.0,0.92,,0.38,,-0.13,1,Barklem+2005,BAR05,VMP,,NO,6.74,6.74,-1.69,-1.69,-2.23,,-2.7399999999999998,,0.51
HE 1300-2431,5029,1.96,2.14,-3.25,,,-0.2,0.01,-0.19,,-0.29,,-0.5,1,Barklem+2005,BAR05,EMP,,,4.98,4.99,-3.45,-3.44,-3.54,,-3.75,,0.21000000000000002
HE 1305-0331,6081,4.22,0.21,-3.26,,,1.09,0.0,1.09,,-0.07,,,1,Barklem+2005,BAR05,EMP,,CE,6.26,6.26,-2.17,-2.17,-3.3299999999999996,,,,
HE 1310-0536,4975,1.92,2.16,-4.15,1.2,,2.45,0.08,2.53,,,,-0.49,1,Hansen+2014,HAN14,UMP,,NO,6.73,6.81,-1.7000000000000002,-1.6200000000000006,,,-4.640000000000001,,
